file,line,reference,missing_verses,note
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,29,Matthew 28:18-20,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,89,John 16:13-14,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,104,2 Timothy 3:16,,Missing book 2 Timothy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,116,Exodus 24:4,,Missing book Exodus
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,125,Numbers 33:2,,Missing book Numbers
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,134,"Deuteronomy 31:9,11",,Missing book Deuteronomy
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,146,Isaiah 30:8,,Missing book Isaiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,158,Jeremiah 36:2,,Missing book Jeremiah
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,167,Habakkuk 2:2,,Missing book Habakkuk
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter0_6_preface.md,194,Matthew 28:20,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,38,James 4:1,,Missing book James
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,53,Romans 8:6-8,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,68,"Romans 8:1,13,14",,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,89,Philippians 2:12-13,,Missing book Philippians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,107,John 15:1-4,,Missing book John
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,139,Romans 12:1-2,,Missing book Romans
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md,169,2 Corinthians 10:3-6,,Missing book 2 Corinthians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,17,Hebrews 6:1-2,,Missing book Hebrews
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,95,Matthew 3:11,,Missing book Matthew
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,137,Acts 1:8,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,173,Luke 11:13,,Missing book Luke
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,182,Acts 2:38-39,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,203,Galatians 3:2,,Missing book Galatians
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,218,Acts 8:17,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter11_chapter_11_baptisms_water_and_spirit.md,227,Acts 19:6,,Missing book Acts
/Users/andrew/repo/translate_principles_of_faith/pipeline2/translation/chapter12_chapter_12_discipleship.md,11,Matthew 28:18-20,,Missing book Matthew
