# Drift explanation generated 2026-01-30T14:22:20.934271
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"24","0.8575","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same idea about the essential attributes of the Holy Spirit.","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are several other essential attributes to describe the Holy Spirit. Each of these attributes is used with “Spirit of,” which means these characteristics are fundamental in defining the Spirit. For example, “Spirit of truth” or “Spirit of life.”"
"25","0.9159","MEDIUM","no","paraphrase","The back-translation retains the same essential concept as the original, with no change in doctrinal meaning, logical relationship, or intent.","The Spirit of:","Spirit of:"
"34","0.8862","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that an advocate represents and assists another person, similar to a defense attorney. The slight variations in wording do not alter the overall meaning or intent.","An advocate speaks on another's behalf, like a defense attorney. They intercede and help the person they are charged with.","The advocate speaks on behalf of another, like a defense attorney. He intercedes and helps the one entrusted to him."
"58","0.9121","MEDIUM","no","paraphrase","The terms 'Scripture' and 'the Bible' are often used interchangeably in many contexts, so the back-translation maintains the original intent and meaning without significant change.","- Does this align with Scripture?","- Does this align with the Bible?"
"59","0.8883","MEDIUM","no","paraphrase","The terms 'exalt' and 'glorify' are synonymous in this context, both referring to the act of raising Jesus Christ's status or honor. Therefore, the back-translation maintains the original intent and meaning.","- Does this exalt Jesus Christ?","- Does this glorify Jesus Christ?"
"60","0.8671","MEDIUM","no","paraphrase","The terms 'godly' and 'divine' are synonymous in this context, maintaining the original intent and meaning regarding the quality of the fruit produced.","- Does this produce godly fruit?","- Does this produce divine fruit?"
"63","0.9068","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, conveying the idea that while scripture provides general guidance, it does not specify exact individuals, and that divine guidance will align with scriptural teachings.","This wisdom and understanding and direction are likely not word for word in the scriptures. As an example, the scriptures give great general direction on what to look for in a spouse, but don’t give specific prescriptions on the exact person. God does promise to direct our path, lead us into all truth, and we can take comfort knowing that this wisdom and leading from the Holy Spirit will never violate any teaching of scripture.","This wisdom, understanding, and guidance will often not be words that match the Bible verbatim. For example, the Bible gives us great general direction about what to look for in a life partner, but it does not give specific prescriptions for a particular person. God promises to direct our path and to guide us into all truth, and we can be comforted knowing that this wisdom and guidance from the Holy Spirit will not violate any teaching of Scripture."
"64","0.8524","MEDIUM","yes","doctrinal","The term 'Outward' in the original suggests a focus on external actions or manifestations of the Holy Spirit's empowerment, while 'Externally' in the back-translation may imply a more detached or less personal interpretation, potentially altering the understanding of the Holy Spirit's role in the mission.","### Outward-The Holy Spirit Empowers the Mission","### Externally-the Holy Spirit empowers the mission"
"65","0.9062","MEDIUM","yes","doctrinal","The original paragraph refers to the 'mission' of Jesus, emphasizing a specific task or directive for His followers, while the back-translation uses 'message,' which may imply a broader or more general communication rather than a specific mission.","Jesus gave us His mission, the Great Commission:","Jesus gave us His message, namely the Great Commission:"
"81","0.9028","MEDIUM","no","paraphrase","The back-translation uses 'narratives' instead of 'accounts' and 'pattern' instead of 'cycle', but these changes do not alter the overall meaning or intent of the original statement regarding the content of the book of Acts.","The entire book of Acts is full of stories and accounts that have this general cycle:","The entire book of Acts is full of stories and narratives that follow this general pattern:"
"107","0.8689","MEDIUM","yes","doctrinal","The back-translation changes the term from 'call out' to 'calling,' which alters the nuance of the action being described. 'Call out' implies a more immediate and direct action, while 'calling' may suggest a broader or more abstract concept, potentially affecting the intent behind the communication.","I use the phrase ‘call out’ to mean literally, with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:","I use the term ‘calling’ to mean it literally—with your mouth, or in whatever way you speak (with your hands if you cannot speak audibly with your mouth). Why speak? For several reasons:"
"118","0.8419","LOW","no","paraphrase","Both paragraphs convey the same concept of a person receiving immediate understanding from God. The terms 'knowing' and 'insight' are synonymous in this context, and the overall intent remains unchanged.","- A knowing - the person talking to God gets an immediate understanding that helps them.","- Insight - the person speaking to God receives an immediate understanding that helps them."
"119","0.8944","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same ideas about receiving a mental image from God and exploring its implications.","- A picture - also known in the scriptures as a vision or a dream (a vision is when you are awake, a dream is when you are asleep), God will give you a picture in your mind. Perhaps it’s a memory, or place you’ve been or know? Explore the picture, what do you see? What do you feel as a result? What’s happening?","- Image - also known in the Scriptures as a vision or a dream (a vision when you are awake, and a dream when you are asleep), God will give you an image in your mind. It may be a memory, or a place you have been or know. Explore the image—what do you see? What do you feel as a result? What is happening?"
