# Drift explanation generated 2026-01-30T14:21:01.574671
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"20","0.8911","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, using different wording but conveying the same idea about the church's attributes.","There are several core metaphorical images used to depict attributes of the church:","There are several key metaphors used to depict the characteristics of the church:"
"27","0.8615","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same idea of the church's identity as a unified and diverse community under Christ's leadership.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the church, and together these images reveal the church’s identity as a unified and diverse community under the leadership of Christ."
"50","0.8538","MEDIUM","no","paraphrase","The back-translation simplifies the title from 'The Leadership of the Church' to 'Church Leadership' without altering the core concept or intent, maintaining the same focus on the leadership aspect within the church context.","## The Leadership of the Church","## Church Leadership"
"51","0.9042","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same ideas about the diversity of church denominations and the significance of existing leadership rules.","Across Christendom there are a wide variety of denominations, meetings, gatherings, and assemblies. There are very few universal rules to the leadership of the church, but the rules we do have are very significant:","Across Christianity there is a wide spectrum of denominations, assemblies, gatherings, and councils. There are very few general rules for church leadership, but the rules we do have are extremely important:"
"61","0.8888","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original meaning and intent, conveying the same ideas about the situational nature of Church structure and the role of tradition without altering any doctrinal or logical relationships.","The structure of the Church, beyond the leadership rules, is important but much of it is situational and a matter of tradition rather than universally dictated. “<u>That's the way we’ve always done it!</u>” is a popular statement; if you go back far enough, there was usually a good reason for why they did it that way. This is generally neither good nor bad, but is a matter of taste, needs, and availability.","Church structure، alongside rules of leadership، is important but much of it is situational and a matter of tradition rather than being universally mandated. ""<u>This is how we always did it!</u>"" is a common phrase؛ if you go back far enough، there was often a good reason for why they did it that way. And this is generally neither good nor bad، but a matter of taste، need، and availability."
"82","0.8935","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core idea as the original, simply using different wording. Both convey the notion of being chosen based on reputation and spiritual character without altering the underlying meaning.","- **Recognized by the Congregation** - Chosen based on their reputation and spiritual character.","- **Known to the congregation** - Chosen based on their reputation and spiritual character."
"85","0.8818","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Qualifications for Leadership' to 'Leadership qualifications' without altering the intent or logical relationship.","### Qualifications for Leadership","### Leadership qualifications"
"87","0.8659","MEDIUM","no","paraphrase","The back-translated paragraph uses different wording ('moral conduct' instead of 'moral character' and 'blameless' instead of 'above reproach') but retains the same essential meaning and intent regarding the qualities required for moral integrity.","- Moral Character - Both must be above reproach, dignified, and demonstrate self-control (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:2</span>, 8).","- Moral conduct - They must be blameless, dignified, and show self-control (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:2</span>, 8)."
"92","0.8985","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Example Structures' to 'Examples of structures' without altering the intent or logical relationship.","### Example Structures","### Examples of structures"
"94","0.8597","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering the doctrinal or intentional content.","### Church at Jerusalem","### The church in Jerusalem"
"96","0.8745","MEDIUM","no","paraphrase","The back-translation 'The church in Antioch' conveys the same concept as 'Church at Antioch,' with no significant change in doctrinal meaning, logical relationship, or intent.","### Church at Antioch","### The church in Antioch"
"133","0.8969","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about establishing a foundation and the need for training while seeking a suitable place for the individual. The wording differs slightly, but the overall intent and meaning remain consistent.","Now that we’ve set a strong foundation - you a meaningful part of the body but need training - let’s get down to finding where you fit.","Now that we have laid a solid foundation—that you are a meaningful part of the body but you need training—let us move on to finding the place that suits you."
"134","0.7351","CRITICAL","no","paraphrase","The back-translation 'Finding your place' conveys the same concept as 'Finding Where You Fit,' maintaining the original intent and meaning without any significant changes.","### Finding Where You Fit","### Finding your place"
"184","0.8847","MEDIUM","yes","doctrinal","The back-translation introduces the phrase 'called and set apart,' which may imply a more specific theological context compared to 'called-out one.' This change could affect the understanding of the identity being discussed, suggesting a more formal or doctrinal interpretation.","1.  What does it mean to you personally to be a “called-out one”? How can you live out this identity in your daily life?","1.  What does it personally mean to you to be «called and set apart»? How can you live out this identity in your daily life?"
