# Drift explanation generated 2026-01-30T15:59:20.173636
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8983","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual and theological meaning as the original, with only slight variations in wording and terminology, such as 'Covenants' instead of 'Testaments' and 'categories' instead of 'categorizations'.","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and the New Covenants use different terms for sin, which highlight aspects such as its type, severity, intent, victim, nature, and the required punishment. There are some broad categories that Scripture uses to describe sin:"
"4","0.8919","MEDIUM","no","paraphrase","The terms 'intentional sin' and 'willful sin' convey the same concept of a sin committed with purpose, while 'unintentional sin' remains unchanged. Thus, the translation does not alter the overall meaning.","- Intentional sin, unintentional sin","- Willful sin, unintentional sin"
"5","0.8902","MEDIUM","no","paraphrase","Both paragraphs convey the same concepts of a sin occurring in a single moment and a sin that is committed habitually, with no significant change in meaning or intent.","- Sin of a single moment, sin habitually committed","- A sin committed in a moment, a habitual sin"
"6","0.7723","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, conveying the idea of sins that incur severe punishments and those that require restitution without altering the intent or logical relationships.","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins that demand harsh punishments like the death penalty, sins that require financial restitution"
"13","0.8551","MEDIUM","no","paraphrase","Both paragraphs convey the same event of Cain killing Abel in Genesis 4 without altering the doctrinal meaning, logical relationship, or intent. The back-translation simply rephrases the original statement.","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let us look at the account in Genesis 4 where Cain killed his brother Abel."
"18","0.9069","MEDIUM","no","paraphrase","Both sentences convey the same idea that he did not provide a suitable sacrifice or offering, maintaining the original intent and meaning without introducing any new concepts.","1.  He failed to offer a proper sacrifice.","1.  He failed to offer the appropriate offering."
"19","0.9123","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, with 'consume' being a synonym for 'devour' and 'LORD' being a common translation for 'Jehovah'.","2.  He ignored the warning from Jehovah (God), that sin was waiting to devour him.","2.  He ignored the warning from the LORD (God) that sin was waiting to consume him."
"20","0.7948","LOW","yes","doctrinal","The original sentence directly states that he committed murder, while the back-translation implies a more formal or legalistic interpretation by stating he 'became the murderer,' which may suggest a change in focus from the act itself to the identity of the person as a murderer.","3.  He murdered his brother.","3.  He became the murderer of his own brother।"
"23","0.8932","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, indicating that there are no changes in doctrinal meaning, logical relationships, or intent.","- His sacrifice was not accepted.","- His sacrifice was not accepted।"
"24","0.7946","LOW","yes","doctrinal","The original paragraph conveys a sense of personal misery regarding the sacrifice, while the back-translation uses 'extremely dejected' and 'status,' which may imply a more detached or analytical view rather than a deeply personal emotional response.","- He felt miserable about the state of his sacrifice.","- He was extremely dejected about the status of his sacrifice।"
