# Drift explanation generated 2026-01-30T16:02:00.977448
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.9185","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, with no changes in doctrinal, logical, or intentional aspects. Both versions convey the same concept of 'out of.'","- **""Ek""**: ""Out of.""","- **""Ek""**: ""out of।"""
"5","0.9081","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, simply reflecting the same definition of 'Kaleo' as 'to call' without any alterations in doctrinal, logical, or intentional aspects.","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call।"""
"16","0.9153","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's doctrinal meaning and intent, emphasizing that the church is defined by the people rather than the physical location. Both versions convey the same theological concepts regarding the nature of the church and its mission.","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The church is not a building or the place they meet; it is the people. **The called-out people**: this conveys the idea that Christians are called out of the world and set apart for God’s purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a special mission and purpose (the Great Commission)। Technically, the church is wherever two or more believers are gathered together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>)। Generally, the church is organized into regular gatherings, likely with a set place and time, but wherever two or more people gather in Jesus’ name, there is the church!"
"18","0.874","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same conceptual meaning as the original, using slightly different wording but maintaining the intent and logical relationship regarding the understanding of the church through Scriptures.","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help understand what the church is, the Scriptures give powerful images that show what it is meant to be।"
"20","0.9183","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of using metaphorical images to describe the church, with only slight variations in word choice that do not alter the overall meaning.","There are several core metaphorical images used to depict attributes of the church:","There are some primary metaphorical images used to show the characteristics of the church:"
"21","0.8814","MEDIUM","yes","doctrinal","The original term 'The Body' suggests a specific theological or doctrinal context, possibly referring to the Church or the physical body of Christ, while the back-translation 'Body' lacks this specificity and may lose the intended doctrinal significance.","1.  The Body","1.  Body"
"22","0.8864","MEDIUM","yes","intentional","The back-translation omits the definite article 'The,' which alters the specificity and intent of the original title, suggesting a broader or less defined reference to 'Bride' rather than a specific entity.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The original term 'The Temple' implies a specific and significant religious structure, while the back-translation 'Temple' lacks the definitive article, which may diminish its doctrinal significance and specificity.","3.  The Temple","3.  Temple"
"25","0.8957","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific group or concept in the original, potentially altering its doctrinal significance.","5.  The Flock","5.  Flock"
"27","0.8686","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the intent or concepts presented.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each of these metaphors highlights a unique facet of the church; but together, they reveal the church’s identity as a unified and diverse community under the leadership of Christ."
"28","0.8577","MEDIUM","yes","paraphrase","The back-translation simplifies the title by removing the definite article 'The,' which may imply a broader or less specific reference to 'Body' rather than the specific concept of 'The Body' in the original context.","### The Body","### Body"
"30","0.7538","LOW","yes","intentional","The back-translation simplifies the title from 'The Bride' to 'Bride,' which may alter the intended emphasis or significance of the original, potentially losing the context or thematic depth associated with the definite article.","### The Bride","### Bride"
"32","0.8023","LOW","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' which may imply a particular religious or cultural significance, while the back-translation simply states 'Temple,' potentially losing that specific context and meaning.","### The Temple","### Temple"
"34","0.8425","LOW","yes","doctrinal","The original term 'The Family' implies a specific and possibly doctrinal context regarding familial relationships, while the back-translated term 'Family' is more general and lacks the same specificity, potentially altering its theological implications.","### The Family","### Family"
"36","0.9111","MEDIUM","yes","intentional","The back-translation simplifies the title from 'The Flock' to 'Flock', which may alter the intent by removing the definite article that suggests a specific group or community, potentially changing the focus from a particular flock to a general concept.","### The Flock","### Flock"
"38","0.9018","MEDIUM","yes","doctrinal","The original title 'The Vine and Branches' implies a specific theological relationship and context, likely referencing the teachings of Jesus about the connection between Him and His followers. The back-translated title 'Vine and branches' lacks the definite article and may lose the specific doctrinal emphasis intended in the original.","### The Vine and Branches","### Vine and branches"
"46","0.8741","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, conveying the same intent regarding the unity of believers in Christ and the significance of sacrifice and communion.","Parents sacrifice for their children because they love them, because they are part of the same body, because they share the same blood. As members of the body and family of Christ, we share the same body, we share the same blood. Communion reminds us through its symbolism that we have been joined to one another through Christ’s sacrifice. The act of communion is to be a point of unity, reminding us that we all have need of redemption, and that salvation is only from God. In this unity we see that no part of the body is greater than another except for our head, Christ.","Parents love their children; they are members of the same body, they share the same blood, and therefore they sacrifice for them. As members of Christ’s body and family, we are parts of the same body; we partake of the same blood. The symbolism of the Lord’s Supper reminds us that through Christ’s sacrifice we are bound to one another. The act of the Lord’s Supper ought to be the focal point of unity, reminding us that we all need salvation and that deliverance comes only from God. In this unity we see that, apart from our Head Christ, no part of the body is greater than another."
"51","0.9083","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the diversity within the Christian community and the significance of the few existing rules for church leadership without altering any doctrinal or logical relationships.","Across Christendom there are a wide variety of denominations, meetings, gatherings, and assemblies. There are very few universal rules to the leadership of the church, but the rules we do have are very significant:","Across the entire Christian community there is great diversity of denominations, meetings, gatherings, and assemblies. There are very few universal rules for church leadership, but the ones that do exist are extremely important:"
"58","0.9176","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that all members of the body are equal in status, with no one being greater or lesser. The back-translation maintains the original intent and logical structure while using slightly different wording.","3.  There are no greater or lesser members of the body. Scriptures supporting this are:","3.  Among the members of the body, none is greater or lesser. The Scriptures supporting this are as follows:"
"65","0.8941","MEDIUM","no","paraphrase","The back-translation uses a slightly different plural form but retains the same conceptual meaning regarding roles and responsibilities.","Role and Responsibilities:","Roles and responsibilities:"
"76","0.8941","MEDIUM","no","paraphrase","The back-translation uses a slightly different plural form but retains the same conceptual meaning regarding roles and responsibilities.","Role and Responsibilities:","Roles and responsibilities:"
"82","0.9137","MEDIUM","no","paraphrase","The back-translation uses 'identified' instead of 'recognized,' but both terms convey the same idea of being chosen based on reputation and spiritual character, maintaining the original meaning.","- **Recognized by the Congregation** - Chosen based on their reputation and spiritual character.","- **Identified by the congregation** - Chosen based on their reputation and spiritual character."
"84","0.9163","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that deacons must be tested for their faithfulness before their official appointment, with only slight variations in wording.","- **Confirmed in Service** - Deacons were first tested to prove their faithfulness before being officially appointed (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>).","- **Confirmation for service** - Before being officially appointed, the deacons were first examined to prove their faithfulness (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>)."
"90","0.9171","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that a good reputation is necessary for individuals within the church or congregation, with no significant change in meaning or intent.","- Reputation - Both need a good reputation inside and outside the church (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:7</span>).","- Reputation - A good reputation is required both inside and outside the congregation (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:7</span>)."
"94","0.8597","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering any doctrinal or intentional aspects.","### Church at Jerusalem","### The church in Jerusalem"
"96","0.8745","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using a different phrasing without altering any doctrinal or intentional aspects.","### Church at Antioch","### The church in Antioch"
"143","0.8112","LOW","no","paraphrase","Both paragraphs convey the same idea that a discussion will occur regarding the list, with no significant changes in meaning or intent.","- Discussed after this list.","- This list is discussed below."
"145","0.8759","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same idea as the original, indicating that the content has been previously addressed in the chapter without altering its meaning.","- Discussed previously in this chapter.","- Already discussed in this chapter."
"146","0.8922","MEDIUM","yes","doctrinal","The term 'manifestation gifts' emphasizes the visible and experiential nature of the gifts given by the Holy Spirit, while 'revelatory gifts' suggests a focus on knowledge and insight. This change alters the understanding of the gifts' purpose and function within the context of spiritual practice.","- Manifestation Gifts given by the Holy Spirit: <span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""8-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:8-10</span>","- The revelatory gifts given by the Holy Spirit: <span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""8-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:8-10</span>"
"184","0.8925","MEDIUM","yes","doctrinal","The term 'called-out one' carries specific theological connotations in certain religious contexts, while 'called person' is more general and may lack the same depth of meaning. This change could affect the understanding of the identity being discussed.","1.  What does it mean to you personally to be a “called-out one”? How can you live out this identity in your daily life?","1.  What does being a ‘called person’ personally mean to you? How can you live out this identity in your daily life?"
"190","0.9149","MEDIUM","no","paraphrase","The back-translation maintains the same core questions and intent as the original, with only slight variations in wording that do not alter the overall meaning or theological implications.","1.  **Icebreaker Question:** “What is your earliest memory of attending or being part of a church? How has your view of the church changed over time?”","1.  **Introductory question:** “What is your earliest memory of participating in or being part of the church? How has your perspective toward the church changed over time?”"
