file,line,type,category,message
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,4546,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,4634,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,4710,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,4817,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,4901,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5025,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5219,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5289,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5411,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5515,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5595,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5718,warning,heading,Found '## Chapter ...' (use single '#' for top-level chapters).
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,2923,warning,length,Line length 1147 exceeds 1000.
/Users/andrew/repo/translate_principles_of_faith/pipeline1/raw/principles_of_faith.md,5827,warning,length,Line length 1105 exceeds 1000.
