# Drift explanation generated 2026-01-30T15:55:55.300297
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"27","0.8838","MEDIUM","no","paraphrase","Both phrases refer to the same concept of baptism associated with the Holy Spirit, with no significant change in meaning or intent.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"30","0.8821","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that John the Baptist spoke about the baptism in the Holy Spirit, with no significant change in doctrinal meaning, logical relationship, or intent.","The baptism in the Holy Spirit was foretold by John the Baptist, who declared,","John the Baptist prophesied the baptism in the Holy Spirit, declaring,"
"36","0.8754","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering the doctrinal or logical relationships.","### Spirit Within vs Spirit Upon","### The Spirit within vs. the Spirit upon"
"54","0.9193","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent of the text, simply rephrasing it without altering any doctrinal or logical relationships.","The Bible outlines several core principles regarding how this baptism is received:","Regarding how this baptism is received, the Bible outlines several key principles:"
"63","0.9014","MEDIUM","no","paraphrase","The back-translation maintains the same core concepts of asking, seeking, and receiving with faith, simply using different wording without altering the underlying meaning.","###  **2. Ask, Seek, and Receive by Faith**","###  **2. Pray, seek, and receive in faith**"
"78","0.9039","MEDIUM","no","paraphrase","The back-translated title retains the same conceptual meaning as the original, simply omitting the definite article 'The' without altering the overall intent or doctrinal significance.","## The Gifts of the Holy Spirit","## Gifts of the Holy Spirit"
"98","0.8638","MEDIUM","no","paraphrase","Both paragraphs convey the same essential idea that gifts should contribute positively to the church, with 'edification' and 'build up' serving as synonymous terms in this context.","- Gifts must always bring **edification** to the church (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:12</span>).","- The gifts should always build up the church (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:12</span>)."
"103","0.9154","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply rephrasing it without altering the intent or core message.","- **Gifts without Fruit**: A believer can operate in gifts yet lack maturity or character, leading to pride, misuse, or harm.","- Gift without fruit: A believer may operate in the gifts yet lack maturity or character, which can lead to pride, misuse, or harm."
"106","0.9104","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same concept as the original, simply rephrasing it without altering the doctrinal meaning, logical relationship, or intent.","### Explaining the 9 Holy Spirit Manifestation Gifts","### Explanation of the 9 manifestation gifts of the Holy Spirit"
"120","0.8823","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, using different wording but conveying the same concepts of yielding to the Holy Spirit and the development of confidence in using spiritual gifts.","While the Holy Spirit gives the gifts, we must yield and to submit to the Holy Spirit to use them. Like muscles and talents, when we practice yielding to the Holy Spirit to use His gifts we become more confident and reliable in the use of them.","Although the Holy Spirit gives the gifts, we must surrender to and obey the Holy Spirit in order to use them. Like muscles and talents, as we practice surrendering to the Holy Spirit in using His gifts, we become more confident and dependable in using them."
"121","0.7776","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording to convey the idea of questions for personal reflection or self-examination.","## Personal Reflection Questions","## Personal self-examination questions"
