# Drift explanation generated 2026-01-30T15:57:55.598259
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"21","0.8857","MEDIUM","no","paraphrase","The back-translated title 'Knowing the Holy Spirit' conveys the same concept as 'Getting to Know the Holy Spirit,' focusing on the process of understanding the Holy Spirit without altering the doctrinal or intentional meaning.","## Getting to Know the Holy Spirit","## Knowing the Holy Spirit"
"24","0.8718","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same ideas about the descriptors of the Holy Spirit and their essential qualities.","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are several other key descriptors used to describe the Holy Spirit. These descriptors are used with the phrase ‘Spirit of ...’, meaning these qualities are essential to the definition of the Spirit. For example, *Spirit of truth* or *Spirit of life*."
"25","0.7871","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original by preserving the phrase 'Spirit of ...' without altering its doctrinal or intentional significance.","The Spirit of:","‘Spirit of ...’:"
"35","0.8882","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that a helper's role is to assist and empower the work without being solely responsible for its completion. The language is slightly varied, but the overall meaning remains consistent.","The helper helps. They help empower the work, but their job is primarily to aid the work. The helper is not solely responsible for performing the work, but they come alongside to help accomplish it.","A helper helps. They assist in strengthening and enabling the work, but their main task is to assist the work. The helper is not solely responsible for accomplishing the task; rather, they come alongside to help bring it to completion."
"58","0.8469","LOW","no","paraphrase","Both phrases inquire about the relationship of a statement or belief to Scripture, with no significant change in meaning. The terms 'align' and 'consistent' convey a similar concept regarding adherence to Scriptural teachings.","- Does this align with Scripture?","- Is it consistent with Scripture?"
"59","0.8556","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, as both phrases inquire about the act of honoring or elevating Jesus Christ. The terms 'exalt' and 'glorify' are synonymous in this context.","- Does this exalt Jesus Christ?","- Does it glorify Jesus Christ?"
"76","0.8973","MEDIUM","yes","doctrinal","The original emphasizes the certainty of God's justice and the affirmation of judgment, while the back-translation uses 'confirms' and 'guarantees,' which may imply a different level of assurance. Additionally, the original mentions 'life's work and deeds,' whereas the back-translation refers to 'deeds and actions,' potentially altering the focus on the quality of one's life.","3.  **Conviction of judgment**: Affirming the defeat of Satan, the certainty of God’s justice, and that all will stand a judgement for their life's work and deeds.","3.  **Conviction concerning judgment**: Confirms Satan’s defeat, guarantees God’s justice, and also that everyone will face judgment for the deeds and actions of their lives."
"81","0.8808","MEDIUM","no","paraphrase","The back-translation maintains the overall meaning of the original paragraph, conveying that the book of Acts contains a recurring cycle of stories and accounts without altering the doctrinal, logical, or intentional aspects.","The entire book of Acts is full of stories and accounts that have this general cycle:","The whole book of Acts is filled with events and accounts in which this common cycle can be seen:"
"82","0.9099","MEDIUM","yes","doctrinal","The original term 'boldness' implies a specific type of confidence in faith, while 'courage' may not fully capture the same theological nuance. This change alters the doctrinal emphasis of the prayer's intent.","1.  **Prayer**: Believers ask for boldness and God’s intervention.","1.  **Prayer**: Believers ask for courage and God's intervention."
"92","0.8736","MEDIUM","no","paraphrase","Both paragraphs convey the same reassurance from Jesus, with slight variations in wording but no significant change in meaning or intent.","Do not fear! Jesus promised us that:","Do not be afraid! Jesus has given us this promise:"
